ID_hecho,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO
2017-0033,2017-03-12,AUTO,28,2017-03-12
2017-0034,2017-03-13,PEATON,43,2017-03-13
2017-0035,2017-03-23,AUTO,28,2017-03-23
2017-0035,2017-03-23,AUTO,32,2017-03-23
2017-0035,2017-03-23,AUTO,30,2017-03-23
2017-0036,2017-03-29,MOTO,SD,2017-03-29
2017-0036,2017-03-29,MOTO,20,2017-03-29
2017-0037,2017-03-31,MOTO,41,2017-03-31
2017-0038,2017-04-01,MOTO,40,2017-04-01
2017-0040,2017-04-03,AUTO,43,2017-04-03
2017-0042,2017-04-10,MOTO,SD,2017-04-10
2017-0045,2017-04-14,MOTO,21,2017-04-14
2017-0047,2017-04-23,MOTO,37,2017-04-23
2017-0049,2017-04-27,PEATON,22,2017-04-27
2017-0050,2017-04-28,MOTO,46,2017-04-28
2017-0050,2017-04-28,MOTO,16,2017-04-28
2017-0051,2017-05-01,AUTO,33,2017-05-01
2017-0052,2017-05-05,PEATON,47,2017-05-05
2017-0053,2017-05-05,MOTO,28,2017-05-05
2017-0054,2017-05-07,MOTO,20,2017-05-07
2017-0055,2017-05-09,AUTO,32,2017-05-09
2017-0058,2017-05-09,PEATON,80,2017-05-09
2017-0059,2017-05-11,PEATON,39,2017-05-11
2017-0060,2017-05-13,MOTO,30,2017-05-13
2017-0061,2017-05-15,PEATON,47,2017-05-16
2017-0062,2017-05-15,MOTO,35,2017-05-15
2017-0063,2017-05-17,PEATON,79,2017-05-17
2017-0064,2017-05-20,CARGAS,61,2017-05-20
2017-0065,2017-05-22,BICICLETA,21,2017-05-22
2017-0066,2017-05-22,PEATON,10,2017-05-22
2017-0067,2017-05-23,MOTO,21,2017-05-23
2017-0068,2017-05-27,MOTO,32,2017-05-27
2017-0069,2017-05-29,MOTO,39,2017-05-29
2017-0070,2017-05-30,PEATON,80,2017-05-31
2017-0072,2017-06-03,AUTO,25,2017-06-03
2017-0073,2017-06-04,MOTO,19,2017-06-04
2017-0074,2017-06-04,SD,70,2017-06-04
2017-0075,2017-06-12,PEATON,55,2017-06-12
2017-0076,2017-06-13,PEATON,30,2017-06-13
2017-0077,2017-06-17,MOTO,60,2017-06-18
2017-0079,2017-06-19,MOTO,33,2017-06-19
2017-0080,2017-06-22,PEATON,95,2017-06-22
2017-0082,2017-06-25,PEATON,36,2017-06-25
2017-0083,2017-07-04,MOTO,37,2017-07-04
2017-0084,2017-07-05,PEATON,73,2017-07-05
2017-0085,2017-07-07,PEATON,84,2017-07-07
2017-0086,2017-07-09,PEATON,30,2017-07-09
2017-0087,2017-07-10,PEATON,73,2017-07-10
2017-0088,2017-07-10,PEATON,43,2017-07-10
2017-0090,2017-07-15,PEATON,22,2017-07-15
2017-0091,2017-07-15,MOTO,58,2017-07-15
2017-0092,2017-07-24,PEATON,66,2017-07-24
2017-0093,2017-07-25,PEATON,SD,2017-07-25
2017-0094,2017-07-27,BICICLETA,56,2017-07-27
2017-0095,2017-08-06,MOTO,36,2017-08-06
2017-0096,2017-08-07,PEATON,87,2017-08-07
2017-0098,2017-08-08,PEATON,61,2017-08-08
2017-0099,2017-08-17,BICICLETA,28,2017-08-17
2017-0100,2017-08-21,MOTO,16,2017-08-21
2017-0101,2017-08-23,PEATON,61,2017-08-23
2017-0102,2017-08-24,PEATON,46,2017-08-24
2017-0104,2017-08-25,PEATON,18,2017-08-25
2017-0106,2017-08-31,PEATON,85,2017-08-31
2017-0107,2017-09-01,MOTO,41,2017-09-01
2017-0108,2017-09-02,AUTO,17,2017-09-02
2017-0108,2017-09-02,AUTO,10,2017-09-02
