ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2017-0135,2017-11-07,MOTO,24.0,2017-11-07,19-30
2017-0136,2017-11-16,PEATON,55.0,2017-11-16,46-60
2017-0137,2017-11-17,PEATON,60.0,2017-11-17,61+
2017-0138,2017-11-19,MOTO,25.0,2017-11-19,19-30
2017-0139,2017-11-19,AUTO,15.0,2017-11-19,0-18
2017-0140,2017-11-19,MOTO,24.0,2017-11-19,19-30
2017-0141,2017-11-23,PEATON,22.0,2017-11-23,19-30
2017-0143,2017-11-25,AUTO,50.0,2017-11-25,46-60
2017-0144,2017-11-26,AUTO,50.0,2017-11-26,46-60
2017-0145,2017-11-26,MOTO,58.0,2017-11-26,46-60
2017-0147,2017-11-28,MOTO,49.0,2017-11-28,46-60
2017-0148,2017-11-29,PEATON,82.0,2017-11-29,61+
2017-0149,2017-11-30,PEATON,13.0,2017-11-30,0-18
2017-0150,2017-12-04,PEATON,56.0,2017-12-04,46-60
2017-0151,2017-12-04,PEATON,,2017-12-04,
2017-0152,2017-12-06,BICICLETA,19.0,2017-12-06,19-30
2017-0153,2017-12-11,MOTO,,2017-12-12,
2017-0153,2017-12-11,MOTO,30.0,2017-12-12,31-45
2017-0154,2017-12-11,PEATON,76.0,2017-12-11,61+
2017-0157,2017-12-17,AUTO,53.0,2017-12-17,46-60
2017-0158,2017-12-18,MOTO,32.0,2017-12-18,31-45
2017-0159,2017-12-20,MOTO,27.0,2017-12-20,19-30
2017-0160,2017-12-22,PEATON,30.0,2017-12-22,31-45
2017-0161,2017-12-26,PEATON,30.0,2017-12-26,31-45
2018-0001,2018-01-01,PEATON,83.0,2018-01-02,61+
2018-0002,2018-01-03,BICICLETA,26.0,2018-01-03,19-30
2018-0003,2018-01-05,PEATON,58.0,2018-01-05,46-60
2018-0004,2018-01-09,MOTO,39.0,2018-01-09,31-45
2018-0005,2018-01-09,PEATON,54.0,2018-01-09,46-60
2018-0006,2018-01-10,BICICLETA,45.0,2018-01-10,46-60
2018-0007,2018-01-11,AUTO,46.0,2018-01-11,46-60
2018-0008,2018-01-12,MOTO,32.0,2018-01-12,31-45
2018-0009,2018-01-14,MOTO,19.0,2018-01-14,19-30
2018-0010,2018-01-18,MOTO,40.0,2018-01-18,31-45
2018-0011,2018-01-19,PEATON,84.0,2018-01-19,61+
2018-0012,2018-01-26,MOTO,20.0,2018-01-26,19-30
2018-0013,2018-01-28,MOTO,44.0,2018-01-28,31-45
2018-0014,2018-01-31,PEATON,,2018-02-04,
2018-0015,2018-02-06,MOTO,28.0,2018-02-06,19-30
2018-0015,2018-02-06,MOTO,19.0,2018-02-06,19-30
2018-0016,2018-02-15,MOTO,31.0,2018-02-15,31-45
2018-0017,2018-02-17,PEATON,35.0,2018-02-20,31-45
2018-0018,2018-02-17,MOTO,26.0,2018-02-17,19-30
2018-0019,2018-02-17,PEATON,80.0,2018-02-17,61+
2018-0020,2018-02-19,MOTO,26.0,2018-02-19,19-30
2018-0021,2018-02-22,PEATON,62.0,2018-02-22,61+
2018-0022,2018-02-24,MOTO,28.0,2018-02-24,19-30
2018-0023,2018-02-24,MOTO,28.0,2018-02-24,19-30
2018-0024,2018-02-28,PEATON,70.0,2018-02-28,61+
2018-0025,2018-03-04,PEATON,70.0,2018-03-05,61+
2018-0026,2018-03-09,MOVIL,24.0,2018-03-09,19-30
2018-0026,2018-03-09,MOVIL,30.0,2018-03-09,31-45
2018-0027,2018-03-11,PEATON,74.0,2018-03-11,61+
2018-0028,2018-03-13,PEATON,71.0,2018-03-13,61+
2018-0029,2018-03-15,MOTO,26.0,2018-03-15,19-30
2018-0030,2018-03-20,MOTO,24.0,2018-03-20,19-30
2018-0031,2018-03-28,MOTO,31.0,2018-03-28,31-45
2018-0032,2018-04-02,PEATON,70.0,2018-04-02,61+
2018-0033,2018-04-07,MOTO,42.0,2018-04-10,31-45
2018-0034,2018-04-11,PEATON,24.0,2018-04-11,19-30
2018-0035,2018-04-12,PEATON,39.0,2018-04-12,31-45
2018-0036,2018-04-13,MOTO,37.0,2018-04-15,31-45
2018-0037,2018-04-18,PEATON,84.0,2018-04-19,61+
2018-0038,2018-04-20,PEATON,59.0,2018-04-20,46-60
2018-0038,2018-04-20,PEATON,61.0,2018-04-20,61+
2018-0039,2018-04-21,PEATON,37.0,2018-04-21,31-45
2018-0040,2018-04-27,PEATON,,2018-04-27,
2018-0041,2018-04-27,PEATON,78.0,2018-04-27,61+
2018-0042,2018-04-27,MOTO,23.0,2018-04-27,19-30
2018-0043,2018-04-28,MOTO,25.0,2018-04-29,19-30
2018-0044,2018-04-28,PEATON,50.0,2018-04-28,46-60
2018-0045,2018-04-30,AUTO,60.0,2018-04-30,61+
2018-0046,2018-05-02,PEATON,11.0,2018-05-02,0-18
2018-0047,2018-05-08,PEATON,82.0,2018-05-09,61+
2018-0048,2018-05-09,PEATON,57.0,2018-05-16,46-60
2018-0049,2018-05-11,PEATON,40.0,2018-05-13,31-45
2018-0050,2018-05-14,PEATON,47.0,2018-05-24,46-60
2018-0051,2018-05-15,PEATON,57.0,2018-05-15,46-60
2018-0052,2018-05-18,PEATON,78.0,2018-05-19,61+
2018-0053,2018-05-20,MOTO,43.0,2018-05-20,31-45
